Name,Market Share,Units Sold to Seg,Revision Date,Stock Out,Pfmn Coord,Size Coord,List Price,MTBF,Age Dec 31,Promo Budget,Cust Awareness,Sales Budget,Cust Accessibility,Dec Cust Survey,,,,,Name,Name
Daze,14%,"1,859",4/28/2027,,9.2,10.8,$23.90 ,14000,2.56,"$1,400 ",100%,"$2,000 ",98%,48,,,,,Daze,Daze
Fast,11%,"1,567",5/27/2026,,9.9,10.1,$23.50 ,14000,1.92,"$1,400 ",100%,"$2,500 ",82%,65,,,,,Fast,Fast
Deep,10%,"1,353",1/5/2025,,9.6,10.4,$25.00 ,14000,2.84,"$1,400 ",100%,"$2,000 ",98%,39,,,,,Deep,Deep
Cid,10%,"1,340",8/28/2026,,10.6,9.5,$23.50 ,14000,1.73,"$1,450 ",100%,"$1,000 ",89%,54,,,,,Cid,Cid
Cake,8%,"1,139",10/21/2026,,8.2,11.5,$23.00 ,14000,1.53,"$1,500 ",100%,"$1,000 ",89%,37,,,,,Cake,Cake
Baker,8%,"1,123",11/21/2026,,8.5,11.3,$23.76 ,14000,1.55,"$1,400 ",100%,"$1,750 ",100%,42,,,,,Baker,Baker
Eat,8%,"1,056",10/11/2026,,8.5,11.8,$23.89 ,14000,1.21,"$1,400 ",100%,"$2,800 ",89%,27,,,,,Eat,Eat
Bold,8%,"1,048",10/1/2026,,8.8,11.6,$23.76 ,14000,1.88,"$1,400 ",100%,"$1,750 ",100%,48,,,,,Bold,Bold
Able,7%,930,11/14/2026,,8.6,11.4,$24.48 ,14000,1.14,"$1,400 ",100%,"$2,400 ",82%,25,,,,,Able,Able
Cure,7%,891,12/2/2026,YES,10.2,9.5,$23.50 ,14000,1.15,"$1,450 ",100%,"$1,000 ",89%,38,,,,,Cure,Cure
Coat,5%,693,12/13/2026,YES,10.6,11,$23.50 ,14000,1.14,"$2,500 ",100%,"$1,000 ",89%,33,,,,,Coat,Coat
Agape,5%,681,5/24/2026,,9.2,8.1,$24.49 ,14000,1.99,"$1,400 ",100%,"$1,200 ",82%,39,,,,,Agape,Agape
Cedar,17%,"3,258",10/30/2024,YES,5.2,14.8,$17.20 ,12000,6.88,"$1,600 ",100%,"$2,800 ",92%,52,,,,,Cedar,Cedar
Feat,17%,"3,236",6/26/2024,,4.8,15.5,$17.55 ,12000,7.05,"$1,400 ",100%,"$2,800 ",95%,44,,,,,Feat,Feat
Bead,16%,"3,021",12/10/2024,,4.5,14.5,$17.49 ,12000,6.82,"$1,400 ",100%,"$2,000 ",99%,44,,,,,Bead,Bead
Dell,14%,"2,772",7/18/2024,YES,4.7,15.3,$17.60 ,12000,7.02,"$1,400 ",100%,"$2,800 ",90%,43,,,,,Dell,Dell
